	0
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.FTA.heat.1week.II')	4.646356450194676
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.None.4C.1week.II')	7.6609225532430445
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.None.4C.4weeks.II')	1.1922602505007354
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.None.amb.4weeks.II')	2.486895625961094
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.None.freezethaw.1week.II')	1.784686460326148
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.Omni.4C.1week.II')	2.7660676647580176
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.Omni.4C.4weeks.II')	1.3352992613272254
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.Omni.amb.1week.II')	2.2634414371523564
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.Omni.amb.4weeks.II')	2.6891339085578037
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.Omni.freezethaw.1week.II')	1.4561813447277159
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.Omni.heat.1week.II')	1.0156898070281126
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.RNA.4C.4weeks.II')	2.916127421227562
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.RNA.amb.4weeks.II')	2.6061908815692076
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.RNA.freezethaw.1week.II')	1.1617014046399126
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.70etoh.4C.4weeks.II')	6.16023667606041
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.70etoh.amb.4weeks.II')	3.862388824764856
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.70etoh.freezethaw.1week.II')	2.6274361649457454
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.95etoh.4C.4weeks.II')	4.439893914608619
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.95etoh.amb.4weeks.II')	4.150626716308053
('10394.H1.95etoh.amb.4weeks.II', '10394.H10.95etoh.freezethaw.1week.II')	6.215625525981284
